# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
162 98647965300.000000  -0.002865 0.002765 76734  -0.000004 0.000604 -0.009203 0.068037  -0.342298 0.028036   76113 -0.000004 0.000584 -0.000004
163 98654599594.500000  -0.002603 0.002733 76737  0.000000 0.000639 0.035015 -0.034363  0.015563 -0.001275   76236 -0.000000 0.000622 -0.000006
164 98661233889.000000  -0.002348 0.002608 76716  -0.000002 0.000602 0.028449 0.011058  -0.163488 0.013390   76148 -0.000003 0.000584 -0.000007
165 98667868183.500000  -0.002774 0.002666 76730  -0.000002 0.000617 -0.016332 -0.003736  -0.126331 0.010347   76193 -0.000001 0.000599 0.000001
166 98674502478.000000  -0.002556 0.002772 76715  -0.000002 0.000612 0.016197 0.063223  -0.138306 0.011328   76062 -0.000002 0.000591 -0.000002
167 98681136772.500000  -0.002436 0.002333 76722  -0.000004 0.000608 0.039213 -0.055480  -0.291765 0.023897   76235 -0.000005 0.000593 -0.000009
168 98687771067.000000  -0.002681 0.002513 76731  -0.000001 0.000644 -0.032751 0.003950  -0.061333 0.005023   76172 0.000000 0.000625 0.000008
169 98694405361.500000  -0.002507 0.002867 76723  -0.000001 0.000614 -0.023010 -0.023912  -0.101059 0.008277   76241 -0.000001 0.000598 0.000003
170 98701039656.000000  -0.003035 0.002667 76736  0.000001 0.000645 0.015773 0.051806  0.043133 -0.003533   76173 -0.000001 0.000626 -0.000001
171 98707673950.500000  -0.002421 0.002854 76731  -0.000002 0.000613 -0.016915 0.040939  -0.151777 0.012431   76135 -0.000001 0.000593 0.000000
172 98714308245.000000  -0.002685 0.002457 76726  0.000003 0.000616 0.012532 0.088539  0.236984 -0.019410   76036 0.000003 0.000593 -0.000000
173 98720942539.500000  -0.002738 0.002641 76731  0.000002 0.000632 -0.009980 0.019410  0.165930 -0.013590   76144 0.000004 0.000613 0.000005
174 98727576834.000000  -0.002683 0.002717 76722  0.000001 0.000617 -0.030255 0.046507  0.039717 -0.003253   76153 0.000002 0.000598 0.000006
175 98734211128.500000  -0.003052 0.002948 76741  -0.000001 0.000638 -0.028197 0.025836  -0.071174 0.005830   76179 0.000001 0.000619 0.000000
176 98740845423.000000  -0.002912 0.002550 76730  0.000000 0.000616 -0.002854 0.018584  0.002982 -0.000244   76142 0.000001 0.000596 -0.000000
177 98747479717.500000  -0.003284 0.002635 76730  -0.000002 0.000613 -0.040185 0.026805  -0.130754 0.010709   76204 -0.000001 0.000595 0.000003
178 98754114012.000000  -0.002591 0.002869 76743  0.000000 0.000631 -0.008506 -0.039212  0.030175 -0.002472   76253 0.000000 0.000614 0.000002
179 98760748306.500000  -0.002645 0.002526 76728  -0.000002 0.000609 -0.018051 0.035961  -0.149556 0.012249   76151 -0.000002 0.000590 0.000001
180 98767382601.000000  -0.002585 0.003224 76752  0.000002 0.000642 -0.004289 -0.006537  0.125818 -0.010305   76249 0.000002 0.000624 0.000005
181 98774016895.500000  -0.002317 0.002522 76740  0.000000 0.000606 0.012323 -0.098551  0.000795 -0.000065   76349 -0.000001 0.000594 -0.000003
182 98780651190.000000  -0.002510 0.002686 76749  0.000001 0.000637 -0.011875 -0.032414  0.048531 -0.003975   76240 0.000001 0.000620 0.000004
183 98787285484.500000  -0.002532 0.002447 76743  -0.000002 0.000614 0.000785 0.005654  -0.163744 0.013411   76188 -0.000002 0.000596 -0.000003
